This dataset is licensed under the [Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International Public License](https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode).
The original images were collected from the [HPWREN camera network](https://hpwren.ucsd.edu/cameras/) and the bounding boxes coordiantes are provided by Fuego.
MinX,MinY,MaxX,MaxY,Filename
547,974,608,1007,bh-w-mobo-c__2019-06-10T13;26;16.jpg
522,971,612,1011,bh-w-mobo-c__2019-06-10T13;27;16.jpg
537,949,606,1004,bh-w-mobo-c__2019-06-10T13;28;16.jpg
499,918,604,1004,bh-w-mobo-c__2019-06-10T13;29;16.jpg
472,894,606,1004,bh-w-mobo-c__2019-06-10T13;30;16.jpg
458,892,606,1006,bh-w-mobo-c__2019-06-10T13;31;16.jpg
473,884,610,1007,bh-w-mobo-c__2019-06-10T13;32;17.jpg
469,844,612,1009,bh-w-mobo-c__2019-06-10T13;34;16.jpg
383,721,608,1003,bh-w-mobo-c__2019-06-10T13;35;16.jpg
377,709,608,1004,bh-w-mobo-c__2019-06-10T13;36;16.jpg
381,669,613,1013,bh-w-mobo-c__2019-06-10T13;37;16.jpg
393,626,617,1009,bh-w-mobo-c__2019-06-10T13;38;16.jpg
388,600,658,1014,bh-w-mobo-c__2019-06-10T13;39;16.jpg
409,560,677,1021,bh-w-mobo-c__2019-06-10T13;40;16.jpg
396,545,688,1026,bh-w-mobo-c__2019-06-10T13;41;16.jpg
375,558,703,1032,bh-w-mobo-c__2019-06-10T13;42;16.jpg
356,611,718,1036,bh-w-mobo-c__2019-06-10T13;43;16.jpg
313,620,715,1039,bh-w-mobo-c__2019-06-10T13;44;16.jpg
1761,810,1810,835,smer-tcs9-mobo-c__2019-06-20T14;23;57.jpg
1757,805,1814,835,smer-tcs9-mobo-c__2019-06-20T14;24;57.jpg
1756,796,1798,835,smer-tcs9-mobo-c__2019-06-20T14;26;57.jpg
1758,800,1798,834,smer-tcs9-mobo-c__2019-06-20T14;27;57.jpg
1759,798,1817,831,smer-tcs9-mobo-c__2019-06-20T14;28;57.jpg
1757,791,1826,834,smer-tcs9-mobo-c__2019-06-20T14;29;57.jpg
1751,797,1801,832,smer-tcs9-mobo-c__2019-06-20T14;30;57.jpg
1753,796,1802,832,smer-tcs9-mobo-c__2019-06-20T14;31;57.jpg
1753,792,1821,835,smer-tcs9-mobo-c__2019-06-20T14;33;57.jpg
1756,790,1830,832,smer-tcs9-mobo-c__2019-06-20T14;34;58.jpg
1756,792,1807,832,smer-tcs9-mobo-c__2019-06-20T14;36;57.jpg
1753,791,1812,835,smer-tcs9-mobo-c__2019-06-20T14;37;57.jpg
1759,796,1807,836,smer-tcs9-mobo-c__2019-06-20T14;39;57.jpg
1759,791,1830,834,smer-tcs9-mobo-c__2019-06-20T14;40;57.jpg
1758,792,1842,835,smer-tcs9-mobo-c__2019-06-20T14;41;57.jpg
1763,793,1868,835,smer-tcs9-mobo-c__2019-06-20T14;42;57.jpg
1761,791,1868,835,smer-tcs9-mobo-c__2019-06-20T14;43;57.jpg
1756,781,1898,835,smer-tcs9-mobo-c__2019-06-20T14;45;57.jpg
1756,778,1919,836,smer-tcs9-mobo-c__2019-06-20T14;46;58.jpg
1758,798,1797,835,smer-tcs9-mobo-c__2019-06-20T14;48;57.jpg
1756,790,1866,835,smer-tcs9-mobo-c__2019-06-20T14;49;57.jpg
1767,791,1884,835,smer-tcs9-mobo-c__2019-06-20T14;50;57.jpg
1763,782,1897,837,smer-tcs9-mobo-c__2019-06-20T14;51;57.jpg
1758,784,1892,837,smer-tcs9-mobo-c__2019-06-20T14;53;57.jpg
1754,773,1932,835,smer-tcs9-mobo-c__2019-06-20T14;54;58.jpg
1756,762,2003,837,smer-tcs9-mobo-c__2019-06-20T14;57;57.jpg
1753,764,1997,840,smer-tcs9-mobo-c__2019-06-20T14;58;58.jpg
1753,752,2019,839,smer-tcs9-mobo-c__2019-06-20T15;00;57.jpg
1751,756,2058,837,smer-tcs9-mobo-c__2019-06-20T15;01;57.jpg
